Year,County,Species,PerUnit,AvgPrice,MinPrice,MaxPrice,NumReports
2000,androscoggin,all_species,cord,11,6,20,28
2000,aroostook,all_species,cord,10,6,15,28
2000,cumberland,all_species,cord,11,7,15,25
2000,franklin,all_species,cord,10,7,23,13
2000,hancock,all_species,cord,12,10,22,14
2000,kennebec,all_species,cord,11,8,23,46
2000,knox,all_species,cord,11,5,14,13
2000,lincoln,all_species,cord,11,8,15,19
2000,oxford,all_species,cord,10,8,14,21
2000,penobscot,all_species,cord,11,8,15,15
2000,piscataquis,all_species,cord,11,8,18,20
2000,sagadahoc,all_species,cord,10,5,12,9
2000,somerset,all_species,cord,13,7,15,17
2000,waldo,all_species,cord,12,8,15,16
2000,washington,all_species,cord,11,9,12,6
2000,york,all_species,cord,10,5,15,31
2001,androscoggin,all_species,cord,10,7,16,25
2001,aroostook,all_species,cord,10,5,20,22
2001,cumberland,all_species,cord,11,7,15,29
2001,franklin,all_species,cord,10,5,14,15
2001,hancock,all_species,cord,10,8,15,18
2001,kennebec,all_species,cord,11,5,20,49
2001,knox,all_species,cord,12,10,15,16
2001,lincoln,all_species,cord,10,5,17,24
2001,oxford,all_species,cord,9,5,20,40
2001,penobscot,all_species,cord,11,7.28,18.1,26
2001,piscataquis,all_species,cord,12,2.5,20.82,18
2001,sagadahoc,all_species,cord,10,6,15,6
2001,somerset,all_species,cord,11,7,15,19
2001,waldo,all_species,cord,11,6,15,26
2001,washington,all_species,cord,10,10,12,10
2001,york,all_species,cord,9,4,15,54
2002,androscoggin,all_species,cord,11,10,12,12
2002,aroostook,all_species,cord,10,7,15,10
2002,cumberland,all_species,cord,10,5,12,20
2002,franklin,all_species,cord,9,6,13,14
2002,hancock,all_species,cord,11,8,15,12
2002,kennebec,all_species,cord,12,5,25,30
2002,knox,all_species,cord,11,5,15,18
2002,lincoln,all_species,cord,11,6,15,27
2002,oxford,all_species,cord,10,7.65,15,24
2002,penobscot,all_species,cord,10,5,15,20
2002,piscataquis,all_species,cord,5,2.75,15,13
