Year,County,Species,PerUnit,AvgPrice,MinPrice,MaxPrice,NumReports
2000,androscoggin,all_species,MBF,46,20,110,76
2000,aroostook,all_species,MBF,35,25,50,9
2000,cumberland,all_species,MBF,51,20,100,115
2000,franklin,all_species,MBF,59,20,110,30
2000,hancock,all_species,MBF,70,30,80,15
2000,kennebec,all_species,MBF,48,15,112,113
2000,knox,all_species,MBF,55,20,80,18
2000,lincoln,all_species,MBF,58,25,90,36
2000,oxford,all_species,MBF,43,20,115,65
2000,penobscot,all_species,MBF,43,25,110,29
2000,piscataquis,all_species,MBF,39,25,70,30
2000,sagadahoc,all_species,MBF,46,20,75,9
2000,somerset,all_species,MBF,51,20,98,62
2000,waldo,all_species,MBF,56,25,92,25
2000,washington,all_species,MBF,35,35,37,10
2000,york,all_species,MBF,44,20,100,135
2001,androscoggin,all_species,MBF,50,15,88.26,51
2001,aroostook,all_species,MBF,48,30,76.97,4
2001,cumberland,all_species,MBF,50,15,184.3,118
2001,franklin,all_species,MBF,44,20,75,28
2001,hancock,all_species,MBF,48,25,70,10
2001,kennebec,all_species,MBF,43,15,90,91
2001,knox,all_species,MBF,56,25,84,12
2001,lincoln,all_species,MBF,60,25,80,33
2001,oxford,all_species,MBF,40,10,72.39,72
2001,penobscot,all_species,MBF,58,20,85,21
2001,piscataquis,all_species,MBF,28,20,75,25
2001,sagadahoc,all_species,MBF,56,40,85,8
2001,somerset,all_species,MBF,56,20,85,45
2001,waldo,all_species,MBF,61,20,87.26,20
2001,washington,all_species,MBF,31,25,50,10
2001,york,all_species,MBF,51,10,135,135
2002,androscoggin,all_species,MBF,38,12,70,63
2002,aroostook,all_species,MBF,33,21,60,14
2002,cumberland,all_species,MBF,39,10,80,92
2002,franklin,all_species,MBF,36,30,110,45
2002,hancock,all_species,MBF,36,22.5,50,7
2002,kennebec,all_species,MBF,46,15,90,92
2002,knox,all_species,MBF,49,20,86,11
2002,lincoln,all_species,MBF,56,22.2,100,41
2002,oxford,all_species,MBF,37,9,150,63
2002,penobscot,all_species,MBF,42,12,110,29
2002,piscataquis,all_species,MBF,24,20,80,30
2002,sagadahoc,all_species,MBF,47,20,60,8
2002,somerset,all_species,MBF,57,10,141.2,58
2002,waldo,all_species,MBF,69,11,85,21
2002,washington,all_species,MBF,31,25,75,17
2002,york,all_species,MBF,43,3,100,116
2003,androscoggin,all_species,MBF,35,10,90,72
2003,aroostook,all_species,MBF,60,25,85,17
2003,cumberland,all_species,MBF,46,5,147,83
2003,franklin,all_species,MBF,39,20,80,29
2003,hancock,all_species,MBF,38,15,110,15
2003,kennebec,all_species,MBF,45,10,115,69
2003,knox,all_species,MBF,45,10,76,17
2003,lincoln,all_species,MBF,58,20,95,40
2003,oxford,all_species,MBF,40,10,125,56
2003,penobscot,all_species,MBF,54,25,111,49
2003,piscataquis,all_species,MBF,61,18,92,28
2003,sagadahoc,all_species,MBF,75,25,93,9
2003,somerset,all_species,MBF,58,18,89,38
2003,waldo,all_species,MBF,54,28,70,13
2003,washington,all_species,MBF,42,25,100,12
2003,york,all_species,MBF,62,5,125,109
2004,androscoggin,all_species,MBF,53,20,151,49
2004,aroostook,all_species,MBF,39,16,86,14
2004,cumberland,all_species,MBF,49,5,140,109
2004,franklin,all_species,MBF,43,17,81,42
2004,hancock,all_species,MBF,51,20,108,11
2004,kennebec,all_species,MBF,57,20,130,69
2004,knox,all_species,MBF,57,25,97,15
2004,lincoln,all_species,MBF,64,25,115,26
2004,oxford,all_species,MBF,51,14,180,53
2004,penobscot,all_species,MBF,45,12,175,40
2004,piscataquis,all_species,MBF,84,15,125,46
2004,sagadahoc,all_species,MBF,46,25,85,17
2004,somerset,all_species,MBF,54,20,105,57
2004,waldo,all_species,MBF,57,24,130,23
2004,washington,all_species,MBF,53,30,86,9
2004,york,all_species,MBF,48,4,140,112
2005,androscoggin,all_species,MBF,49,15,147,57
2005,aroostook,all_species,MBF,42,6,88,25
2005,cumberland,all_species,MBF,76,15,150,81
2005,franklin,all_species,MBF,41,10,90,33
2005,hancock,all_species,MBF,65,20,125,14
2005,kennebec,all_species,MBF,53,20,120,51
2005,knox,all_species,MBF,77,40,113,8
2005,lincoln,all_species,MBF,60,40,125,25
2005,oxford,all_species,MBF,47,15,100,37
2005,penobscot,all_species,MBF,38,5,92,26
2005,piscataquis,all_species,MBF,58,13,141,36
2005,sagadahoc,all_species,MBF,56,20,60,5
2005,somerset,all_species,MBF,60,10,150,81
2005,waldo,all_species,MBF,57,38,145,14
2005,washington,all_species,MBF,84,10,100,7
2005,york,all_species,MBF,51,13,150,79
2006,androscoggin,all_species,MBF,71,20,100,52
2006,aroostook,all_species,MBF,45,20,84,22
2006,cumberland,all_species,MBF,60,20,125,87
2006,franklin,all_species,MBF,48,10,110,41
2006,hancock,all_species,MBF,81,30,175,17
2006,kennebec,all_species,MBF,62,6,150,62
2006,knox,all_species,MBF,61,25,100,13
2006,lincoln,all_species,MBF,62,34,93,30
2006,oxford,all_species,MBF,65,10,130,45
2006,penobscot,all_species,MBF,59,12,150,38
2006,piscataquis,all_species,MBF,63,15,160,40
2006,sagadahoc,all_species,MBF,60,20,91,12
2006,somerset,all_species,MBF,55,18,190,67
2006,waldo,all_species,MBF,67,25,140,16
2006,washington,all_species,MBF,60,25,140,19
2006,york,all_species,MBF,47,15,275,104
2007,androscoggin,all_species,MBF,54,10,110,62
2007,aroostook,all_species,MBF,52,20,132,30
2007,cumberland,all_species,MBF,42,10,100,62
2007,franklin,all_species,MBF,50,5,115,42
2007,hancock,all_species,MBF,55,20,155,19
2007,kennebec,all_species,MBF,65,20,155,56
2007,knox,all_species,MBF,61,6,179,19
2007,lincoln,all_species,MBF,59,25,140,38
2007,oxford,all_species,MBF,42,10,100,38
