Year,County,Species,PerUnit,AvgPrice,MinPrice,MaxPrice,NumReports,
2000,aroostook,all_species,ton,22,3.26,35.6,111,
2000,franklin,all_species,ton,28,4.44,30,6,
2000,hancock,all_species,ton,11,3.7,35.14,42,
2000,kennebec,all_species,ton,7,2.92,27,12,
2000,lincoln,all_species,ton,10,6.6,18,4,
2000,penobscot,all_species,ton,14,1.25,32.92,83,
2000,piscataquis,all_species,ton,22,5.18,30,30,
2000,somerset,all_species,ton,28,10.25,30,13,
2000,waldo,all_species,ton,15,1.85,26,10,
2000,washington,all_species,ton,20,3.2,34,57,
2001,aroostook,all_species,ton,21,3.7,34.6,86,
2001,franklin,all_species,ton,6,3.7,10,4,
2001,hancock,all_species,ton,13,3.7,36,21,
2001,penobscot,all_species,ton,19,2.96,31,43,
2001,piscataquis,all_species,ton,11,5,44.1,16,
2001,somerset,all_species,ton,19,4.07,27.25,15,
2001,waldo,all_species,ton,12,9.52,25,5,
2001,washington,all_species,ton,17,2.5,50,29,
2002,aroostook,all_species,ton,21,2.3,30.95,96,
2002,hancock,all_species,ton,10,5.56,17.14,4,
2002,penobscot,all_species,ton,13,2.41,30.48,48,
2002,piscataquis,all_species,ton,22,13.1,26.67,5,
2002,washington,all_species,ton,11,2,34,34,
2003,aroostook,all_species,ton,21,2,29,81,
2003,hancock,all_species,ton,6,5,27,14,
2003,kennebec,all_species,ton,46,3,57,7,
2003,penobscot,all_species,ton,12,0,33,82,
2003,piscataquis,all_species,ton,30,3,34,28,
2003,somerset,all_species,ton,27,3,31,10,
2003,washington,all_species,ton,15,6,26,32,
2004,aroostook,all_species,ton,24,5,40,115,
2004,franklin,all_species,ton,4,3,23,4,
2004,hancock,all_species,ton,8,2,40,14,
2004,penobscot,all_species,ton,15,3,39,58,
2004,piscataquis,all_species,ton,37,4,49,34,
2004,somerset,all_species,ton,10,10,37,4,
2004,waldo,all_species,ton,21,10,30,6,
2004,washington,all_species,ton,19,4,48,43,
