Year,Category,PerUnit,Species,AvgPrice,MinPrice,MaxPrice,NumReports
2000,Biomass,ton,All Species,1,0.2,6,132
2000,Boltwood,cord,Ash,39,14,55,19
2000,Boltwood,cord,Aspen/Poplar,31,12,50,13
2000,Boltwood,cord,Beech,47,30,70,5
2000,Boltwood,cord,Cedar,16,2,55,122
2000,Boltwood,cord,Mixed Hardwood,23,10,60,5
2000,Boltwood,cord,Red Oak,39,20,65,11
2000,Boltwood,cord,Red/White Maple,31,15,57,13
2000,Boltwood,cord,Sugar Maple,44,25,75,20
2000,Boltwood,cord,White Birch,55,23.5,135,182
2000,Boltwood,cord,Yellow Birch,57,17.5,120,30
2000,Firewood,cord,All Species,11,5,23,321
2000,Palletwood,MBF,All Species,49,15,115,777
2000,Pulpwood,cord,Aspen/Poplar,9,1.8,30,433
2000,Pulpwood,cord,Hemlock,11,2.31,35,437
2000,Pulpwood,cord,Mixed Hardwood,10,2.33,35,44
2000,Pulpwood,cord,Mixed Softwoods,11,1.15,41,82
2000,Pulpwood,cord,Other Hardwood,9,1.25,50,844
2000,Pulpwood,cord,Other Softwoods,9,2.17,25,47
2000,Pulpwood,cord,Red Pine,9,4,28,18
2000,Pulpwood,cord,Spruce & Fir,21,3.15,68,603
2000,Pulpwood,cord,White Pine,6,1.5,37,592
2000,Sawlogs,MBF,Ash,127,25,300,267
2000,Sawlogs,MBF,Aspen/Poplar,53,19,165,185
2000,Sawlogs,MBF,Beech,55,14,175,106
2000,Sawlogs,MBF,Cedar,59,25.8,110,61
2000,Sawlogs,MBF,Hemlock,58,20,175,421
2000,Sawlogs,MBF,Mixed Hardwood,141,20,1000,178
2000,Sawlogs,MBF,mixed soft/hard wood,102,30,265,13
2000,Sawlogs,MBF,Mixed Softwoods,107,30,211,16
2000,Sawlogs,MBF,Other Hardwood,119,20,252,53
2000,Sawlogs,MBF,Other Softwoods,85,15,426,28
2000,Sawlogs,MBF,Red Oak,245,25.37,750,373
2000,Sawlogs,MBF,Red Pine,58,10,170,84
2000,Sawlogs,MBF,Red/White Maple,80,15,480,324
2000,Sawlogs,MBF,Spruce & Fir,130,20,204,601
2000,Sawlogs,MBF,Sugar Maple,187,30,400,254
2000,Sawlogs,MBF,White Birch,137,21.75,278,375
2000,Sawlogs,MBF,White Oak,190,20,455,58
2000,Sawlogs,MBF,White Pine,143,25,275,901
2000,Sawlogs,MBF,Yellow Birch,122,40,300,208
2000,Studwood,ton,All Species,18,1.25,36,375
2000,Veneer,MBF,Ash,259,115,700,15
2000,Veneer,MBF,Aspen/Poplar,73,24,135,91
2000,Veneer,MBF,Mixed Hardwood,387,140,842,15
2000,Veneer,MBF,Other Hardwood,245,75.01,625,4
2000,Veneer,MBF,Red Oak,575,80,1450,195
2000,Veneer,MBF,Sugar Maple,548,115,1410,53
2000,Veneer,MBF,White Birch,336,55,715,70
2000,Veneer,MBF,White Oak,487,100,905,12
2000,Veneer,MBF,Yellow Birch,341,95,777,65
2001,Biomass,ton,All Species,1,0.43,6,157
2001,Boltwood,cord,Ash,39,25,50,9
2001,Boltwood,cord,Aspen/Poplar,30,10,50,13
2001,Boltwood,cord,Cedar,18,3.14,54,77
2001,Boltwood,cord,Mixed Hardwood,17,8,60,14
2001,Boltwood,cord,mixed soft/hard wood,43,30,58,4
2001,Boltwood,cord,Red Oak,60,40,100,9
2001,Boltwood,cord,Red/White Maple,31,20,39,4
2001,Boltwood,cord,Sugar Maple,55,20,85,18
2001,Boltwood,cord,White Birch,59,12,260,147
2001,Boltwood,cord,Yellow Birch,35,12.5,80,22
2001,Firewood,cord,All Species,10,2.5,21,397
2001,Palletwood,MBF,All Species,49,10,184,683
2001,Pulpwood,cord,Aspen/Poplar,9,1.8,27,378
2001,Pulpwood,cord,Hemlock,11,2,32,436
2001,Pulpwood,cord,Mixed Hardwood,9,2.4,36,741
2001,Pulpwood,cord,mixed soft/hard wood,8,1.35,29,28
2001,Pulpwood,cord,Mixed Softwoods,11,2.3,35,61
2001,Pulpwood,cord,Other Softwoods,11,2.15,20,33
2001,Pulpwood,cord,Red Pine,6,4,15,14
2001,Pulpwood,cord,Spruce & Fir,20,2.1,60,530
2001,Pulpwood,cord,White Pine,7,1.2,33,595
2001,Sawlogs,MBF,Ash,118,20,295,223
2001,Sawlogs,MBF,Aspen/Poplar,47,20,110,131
2001,Sawlogs,MBF,Beech,54,15,190,84
2001,Sawlogs,MBF,Cedar,66,20,138,50
2001,Sawlogs,MBF,Hemlock,56,20,145,351
2001,Sawlogs,MBF,Mixed Hardwood,134,16,459,172
2001,Sawlogs,MBF,mixed soft/hard wood,161,35,603,20
2001,Sawlogs,MBF,Mixed Softwoods,102,50,170,13
2001,Sawlogs,MBF,Other Hardwood,111,20,533,45
2001,Sawlogs,MBF,Other Softwoods,63,25,130,18
2001,Sawlogs,MBF,Red Oak,218,32,650,343
2001,Sawlogs,MBF,Red Pine,83,25,180,79
2001,Sawlogs,MBF,Red/White Maple,77,25,310,259
2001,Sawlogs,MBF,Spruce & Fir,114,20,265,516
2001,Sawlogs,MBF,Sugar Maple,198,21.5,400,199
2001,Sawlogs,MBF,White Birch,111,20,375,326
2001,Sawlogs,MBF,White Oak,179,25,670,36
2001,Sawlogs,MBF,White Pine,146,20,350,866
2001,Sawlogs,MBF,Yellow Birch,129,25,950,167
2001,Studwood,ton,All Species,19,2.5,70,226
2001,Veneer,MBF,Ash,235,100,615,20
