Year,County,Category,PerUnit,Species,AvgPrice,MinPrice,MaxPrice,NumReports
2000,androscoggin,boltwood,cord,White Birch,61,30,75,9
2000,androscoggin,pulpwood,cord,Aspen/Poplar,9,4.05,15,25
2000,androscoggin,pulpwood,cord,Hemlock,11,3.6,18,26
2000,androscoggin,pulpwood,cord,Mixed Softwoods,5,1.15,12.42,9
2000,androscoggin,pulpwood,cord,Other Hardwood,9,1.25,21.25,46
2000,androscoggin,pulpwood,cord,Spruce & Fir,13,9,17.01,7
2000,androscoggin,pulpwood,cord,White Pine,3,1.5,16.13,52
2000,androscoggin,sawlogs,MBF,Ash,92,35,170,17
2000,androscoggin,sawlogs,MBF,Aspen/Poplar,43,20,50,9
2000,androscoggin,sawlogs,MBF,Beech,42,40,55,5
2000,androscoggin,sawlogs,MBF,Hemlock,55,35,90,29
2000,androscoggin,sawlogs,MBF,Mixed Hardwood,94,20,251.27,8
2000,androscoggin,sawlogs,MBF,Other Hardwood,31,25,50,4
2000,androscoggin,sawlogs,MBF,Red Oak,251,35,430,36
2000,androscoggin,sawlogs,MBF,Red Pine,41,25,145,9
2000,androscoggin,sawlogs,MBF,Red/White Maple,69,30,185,23
2000,androscoggin,sawlogs,MBF,Spruce & Fir,130,53,190,23
2000,androscoggin,sawlogs,MBF,Sugar Maple,198,55,344.33,14
2000,androscoggin,sawlogs,MBF,White Birch,125,50,230,25
2000,androscoggin,sawlogs,MBF,White Oak,154,75,325,4
2000,androscoggin,sawlogs,MBF,White Pine,156,25,250,66
2000,androscoggin,sawlogs,MBF,Yellow Birch,92,45,190,8
2000,androscoggin,veneer,MBF,Aspen/Poplar,73,60,100,6
2000,androscoggin,veneer,MBF,Red Oak,517,80,1206,22
2000,aroostook,boltwood,cord,Aspen/Poplar,15,12,20,8
2000,aroostook,boltwood,cord,Cedar,19,8,40,30
2000,aroostook,pulpwood,cord,Aspen/Poplar,11,5.76,25,64
2000,aroostook,pulpwood,cord,Hemlock,10,7.2,18.24,15
2000,aroostook,pulpwood,cord,Other Hardwood,9,5,50,50
2000,aroostook,pulpwood,cord,Other Softwoods,11,6.45,15,18
2000,aroostook,pulpwood,cord,Spruce & Fir,33,9,67.5,40
2000,aroostook,sawlogs,MBF,Ash,148,63,180,7
2000,aroostook,sawlogs,MBF,Beech,67,30,175,11
2000,aroostook,sawlogs,MBF,Cedar,60,31,82,25
2000,aroostook,sawlogs,MBF,Hemlock,66,42,155,6
2000,aroostook,sawlogs,MBF,Mixed Hardwood,138,45.98,494,20
2000,aroostook,sawlogs,MBF,Other Softwoods,89,26,140,6
2000,aroostook,sawlogs,MBF,Red/White Maple,50,30,350,16
2000,aroostook,sawlogs,MBF,Spruce & Fir,150,40,175,64
2000,aroostook,sawlogs,MBF,Sugar Maple,180,70,375,24
2000,aroostook,sawlogs,MBF,White Birch,191,60,275,6
2000,aroostook,sawlogs,MBF,White Pine,116,45,160,15
2000,aroostook,sawlogs,MBF,Yellow Birch,100,60,250,21
2000,aroostook,veneer,MBF,Sugar Maple,412,183,464.85,5
2000,aroostook,veneer,MBF,Yellow Birch,273,121.66,496.62,11
2000,cumberland,pulpwood,cord,Aspen/Poplar,7,1.8,25,12
2000,cumberland,pulpwood,cord,Hemlock,11,2.4,20.04,50
2000,cumberland,pulpwood,cord,Mixed Softwoods,6,2.3,9.2,8
2000,cumberland,pulpwood,cord,Other Hardwood,9,2,17.5,72
2000,cumberland,pulpwood,cord,Spruce & Fir,11,5.78,23.1,8
2000,cumberland,pulpwood,cord,White Pine,5,2.15,15.05,94
2000,cumberland,sawlogs,MBF,Ash,116,35,155,26
2000,cumberland,sawlogs,MBF,Aspen/Poplar,46,26.52,80,5
